MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\far_to_near_domain_capture_20260826 -> D:\my_works\walker_pose_system\research_records\raw_captures\R20260826-01_far_to_near_domain_capture; files=28; bytes=389464132
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\capture_replay_baseline -> D:\my_works\walker_pose_system\research_records\official_runs\E20260827-B0_replay_baseline; files=5; bytes=17398849
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\capture_replay_local_perspective_pareto -> D:\my_works\walker_pose_system\research_records\official_runs\E20260827-L1_local_perspective_strict; files=5; bytes=17674500
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\capture_replay_undistort_20260827_170610 -> D:\my_works\walker_pose_system\research_records\official_runs\E20260827-U1_model_input_undistort; files=5; bytes=16791187
MOVED: D:\my_works\walker_pose_system\benchmarks\runs\approach_far_to_near_60_all_models_20260826_correct_orientation -> D:\my_works\walker_pose_system\research_records\screening\E20260826-M0_five_model_60_pair_screen\model_inference; files=406; bytes=125581807
MOVED: D:\my_works\walker_pose_system\benchmarks\runs\approach_far_to_near_60_model_visualizations_20260826_correct_orientation -> D:\my_works\walker_pose_system\research_records\screening\E20260826-M0_five_model_60_pair_screen\visualization; files=10; bytes=15370988
MOVED: D:\my_works\walker_pose_system\benchmarks\runs\approach_far_to_near_60_offline_stereo_geometry_20260826_correct_orientation -> D:\my_works\walker_pose_system\research_records\screening\E20260826-M0_five_model_60_pair_screen\stereo_geometry; files=11; bytes=3309168
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\yolo26_kp_threshold_sweep_20260825 -> D:\my_works\walker_pose_system\research_records\screening\E20260825-S1_keypoint_score_threshold_sweep; files=20; bytes=57915270
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\far_fullbody_raw_yolo26_20260826 -> D:\my_works\walker_pose_system\research_records\screening\E20260826-S2_far_fullbody_raw; files=8; bytes=29892016
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\rigid_calib_rotation_corrected_person_20260823 -> D:\my_works\walker_pose_system\research_records\engineering_validation\T20260823_rotation_corrected_person; files=5; bytes=14276541
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\rigid_calib_rotation_static_20260823 -> D:\my_works\walker_pose_system\research_records\engineering_validation\T20260823_rotation_static; files=5; bytes=11620060
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\capture_probe_20260826 -> D:\my_works\walker_pose_system\research_records\engineering_validation\T20260826_camera_probe; files=2; bytes=2736
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\capture_replay_local_perspective -> D:\my_works\walker_pose_system\research_records\retired\invalid_local_perspective\capture_replay_local_perspective_pre_strict; files=5; bytes=17713587
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\capture_replay_undistort_smoke -> D:\my_works\walker_pose_system\research_records\retired\smoke\capture_replay_undistort_smoke; files=5; bytes=97222
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\compare_60_yolo26xpose_vs_pmpose_20260826 -> D:\my_works\walker_pose_system\research_records\retired\superseded_screening\compare_60_yolo26xpose_vs_pmpose; files=11; bytes=9406767
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\lp_capture_check -> D:\my_works\walker_pose_system\research_records\retired\invalid_local_perspective\lp_capture_check; files=5; bytes=12025494
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\lp_dataset_approach -> D:\my_works\walker_pose_system\research_records\retired\invalid_local_perspective\lp_dataset_approach; files=3; bytes=33535034
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\lp_live_baseline_approach -> D:\my_works\walker_pose_system\research_records\retired\invalid_local_perspective\lp_live_baseline_approach; files=5; bytes=12451303
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\lp_live_smoke -> D:\my_works\walker_pose_system\research_records\retired\smoke\lp_live_smoke; files=5; bytes=17980594
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\lp_offline_baseline_approach -> D:\my_works\walker_pose_system\research_records\retired\invalid_local_perspective\lp_offline_baseline_approach; files=5; bytes=11323410
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\lp_offline_baseline_primary -> D:\my_works\walker_pose_system\research_records\retired\invalid_local_perspective\lp_offline_baseline_primary; files=5; bytes=11173046
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\lp_offline_local_approach -> D:\my_works\walker_pose_system\research_records\retired\invalid_local_perspective\lp_offline_local_approach; files=5; bytes=11429139
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\lp_offline_local_primary -> D:\my_works\walker_pose_system\research_records\retired\invalid_local_perspective\lp_offline_local_primary; files=5; bytes=11226961
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\local_perspective_dataset_20260827 -> D:\my_works\walker_pose_system\research_records\retired\invalid_local_perspective\local_perspective_dataset; files=15; bytes=184712
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\mot17_01_dpm_logic_test_20260823 -> D:\my_works\walker_pose_system\research_records\retired\debug\mot17_01_dpm_logic_test; files=5; bytes=8562350
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\raw_pre_inference_check_20260823 -> D:\my_works\walker_pose_system\research_records\retired\debug\raw_pre_inference_check; files=8; bytes=17137948
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\raw_pre_inference_diag_reproj50_20260823 -> D:\my_works\walker_pose_system\research_records\retired\debug\raw_pre_inference_diag_reproj50; files=5; bytes=4650114
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\raw_pre_inference_fullres_display_20260823 -> D:\my_works\walker_pose_system\research_records\retired\debug\raw_pre_inference_fullres_display; files=5; bytes=14490428
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\raw_pre_inference_replay_20260823 -> D:\my_works\walker_pose_system\research_records\retired\debug\raw_pre_inference_replay; files=5; bytes=4650138
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\raw_pre_inference_undistort_ab_20260823 -> D:\my_works\walker_pose_system\research_records\retired\debug\raw_pre_inference_undistort_ab; files=5; bytes=13820295
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\rigid_calib_rotation_person_20260823 -> D:\my_works\walker_pose_system\research_records\retired\superseded_validation\rigid_calib_rotation_person; files=5; bytes=5416289
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\smoke_pmpose_model_layout_20260826 -> D:\my_works\walker_pose_system\research_records\retired\smoke\smoke_pmpose_model_layout; files=6; bytes=293756
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\smoke_yolo26_model_layout_20260826 -> D:\my_works\walker_pose_system\research_records\retired\smoke\smoke_yolo26_model_layout; files=5; bytes=273527
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\visualizer_fullres_replay_20260823 -> D:\my_works\walker_pose_system\research_records\retired\debug\visualizer_fullres_replay; files=1; bytes=885
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\visualizer_fullres_replay_recovered_20260823 -> D:\my_works\walker_pose_system\research_records\retired\debug\visualizer_fullres_replay_recovered; files=5; bytes=7585070
MOVED: D:\my_works\walker_pose_system\realtime_app\outputs\pmpose_raw_compare_20260826 -> D:\my_works\walker_pose_system\research_records\retired\smoke\pmpose_raw_compare; files=1; bytes=1340
MOVED: D:\my_works\walker_pose_system\benchmarks\runs\far_to_near_60_model_visualizations_20260826 -> D:\my_works\walker_pose_system\research_records\retired\superseded_screening\far_to_near_60_model_visualizations; files=10; bytes=23318986
MOVED: D:\my_works\walker_pose_system\benchmarks\runs\far_to_near_60_offline_stereo_geometry_20260826 -> D:\my_works\walker_pose_system\research_records\retired\superseded_screening\far_to_near_60_offline_geometry; files=10; bytes=2158662
MOVED: D:\my_works\walker_pose_system\benchmarks\runs\far_to_near_60_offline_stereo_geometry_20260826_invalid_jsonl -> D:\my_works\walker_pose_system\research_records\retired\invalid\far_to_near_60_invalid_jsonl; files=10; bytes=2158662
MOVED: D:\my_works\walker_pose_system\outputs\20260823_091358_yolo26x_pose_stereo_camera -> D:\my_works\walker_pose_system\research_records\retired\early_live_camera_trials\20260823_091358_yolo26x_pose_stereo_camera; files=1; bytes=865
MOVED: D:\my_works\walker_pose_system\outputs\20260823_093237_yolo26x_pose_stereo_camera -> D:\my_works\walker_pose_system\research_records\retired\early_live_camera_trials\20260823_093237_yolo26x_pose_stereo_camera; files=1; bytes=1683
MOVED: D:\my_works\walker_pose_system\outputs\20260823_094843_yolo26x_pose_stereo_camera -> D:\my_works\walker_pose_system\research_records\retired\early_live_camera_trials\20260823_094843_yolo26x_pose_stereo_camera; files=2; bytes=4607
MOVED: D:\my_works\walker_pose_system\outputs\20260823_095112_yolo26x_pose_stereo_camera -> D:\my_works\walker_pose_system\research_records\retired\early_live_camera_trials\20260823_095112_yolo26x_pose_stereo_camera; files=1; bytes=1302
MOVED: D:\my_works\walker_pose_system\outputs\20260823_095527_yolo26x_pose_stereo_camera -> D:\my_works\walker_pose_system\research_records\retired\early_live_camera_trials\20260823_095527_yolo26x_pose_stereo_camera; files=1; bytes=1302
MOVED: D:\my_works\walker_pose_system\outputs\20260823_095733_yolo26x_pose_stereo_camera -> D:\my_works\walker_pose_system\research_records\retired\early_live_camera_trials\20260823_095733_yolo26x_pose_stereo_camera; files=2; bytes=3836
MOVED: D:\my_works\walker_pose_system\outputs\20260823_100922_yolo26x_pose_stereo_camera -> D:\my_works\walker_pose_system\research_records\retired\early_live_camera_trials\20260823_100922_yolo26x_pose_stereo_camera; files=5; bytes=1714681
MOVED: D:\my_works\walker_pose_system\outputs\20260823_103549_yolo26x_pose_stereo_camera -> D:\my_works\walker_pose_system\research_records\retired\early_live_camera_trials\20260823_103549_yolo26x_pose_stereo_camera; files=5; bytes=1813947
MOVED: D:\my_works\walker_pose_system\outputs\smoke_pmpose_model_layout_20260826 -> D:\my_works\walker_pose_system\research_records\retired\early_live_camera_trials\smoke_pmpose_model_layout_20260826; files=1; bytes=848
